Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year,Position
1,Joey Slye,3,3,100.0,40,0,2,0,1,0,4,4,1,14.0,14.0,0.8%,TEN,1,2021,k
2,Robbie Gould,2,3,66.7,52,0,0,0,1,1,5,5,1,14.0,14.0,0.6%,FA,1,2021,k
3,Dustin Hopkins,3,4,75.0,48,0,0,1,2,0,1,1,1,12.0,12.0,0.8%,CLE,1,2021,k
4,Matt Gay,2,2,100.0,53,0,1,0,0,1,4,4,1,12.0,12.0,16.2%,WAS,1,2021,k
5,Greg Zuerlein,3,5,60.0,48,0,1,1,1,0,2,3,1,12.0,12.0,0.8%,FA,1,2021,k
6,Chris Boswell,3,3,100.0,45,0,2,0,1,0,2,2,1,12.0,12.0,81.4%,PIT,1,2021,k
7,Tyler Bass,3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,11.0,57.6%,BUF,1,2021,k
8,Daniel Carlson,2,2,100.0,55,0,0,1,0,1,3,3,1,11.0,11.0,12.9%,LV,1,2021,k
9,Evan McPherson,2,2,100.0,53,0,0,1,0,1,3,3,1,11.0,11.0,44.2%,CIN,1,2021,k
10,Justin Tucker,2,2,100.0,47,0,0,0,2,0,3,3,1,11.0,11.0,3.7%,FA,1,2021,k
11,Nick Folk,3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,11.0,1.1%,NYJ,1,2021,k
12,Harrison Butker,2,2,100.0,43,0,1,0,1,0,3,3,1,10.0,10.0,72.4%,KC,1,2021,k
13,Brandon McManus,2,2,100.0,36,0,1,1,0,0,3,3,1,9.0,9.0,5.5%,GB,1,2021,k
14,Aldrick Rosas,1,1,100.0,44,0,0,0,1,0,5,5,1,9.0,9.0,0.0%,FA,1,2021,k
15,Tristan Vizcaino,2,2,100.0,33,0,1,1,0,0,2,2,1,8.0,8.0,0.0%,FA,1,2021,k
16,Greg Joseph,1,1,100.0,53,0,0,0,0,1,3,3,1,8.0,8.0,0.6%,FA,1,2021,k
17,Matt Prater,1,2,50.0,34,0,0,1,0,0,5,5,1,8.0,8.0,0.6%,FA,1,2021,k
18,Ryan Santoso,2,2,100.0,29,0,2,0,0,0,1,2,1,7.0,7.0,0.0%,FA,1,2021,k
19,Ryan Succop,1,1,100.0,36,0,0,1,0,0,4,4,1,7.0,7.0,1.5%,FA,1,2021,k
20,Jake Elliott,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,60.9%,PHI,1,2021,k
21,Austin Seibert,1,2,50.0,49,0,0,0,1,0,2,2,1,6.0,6.0,0.7%,FA,1,2021,k
22,Younghoe Koo,2,2,100.0,27,0,2,0,0,0,0,0,1,6.0,6.0,22.8%,ATL,1,2021,k
23,Jason Sanders,1,1,100.0,48,0,0,0,1,0,2,2,1,6.0,6.0,41.5%,MIA,1,2021,k
24,Rodrigo Blankenship,1,1,100.0,21,0,1,0,0,0,1,1,1,4.0,4.0,0.2%,FA,1,2021,k
25,Jason Myers,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,3.6%,SEA,1,2021,k
26,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,81.7%,TB,1,2021,k
27,Josh Lambo,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.6%,FA,1,2021,k
28,Mason Crosby,1,1,100.0,39,0,0,1,0,0,0,0,1,3.0,3.0,0.1%,FA,1,2021,k
29,Cairo Santos,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,12.2%,CHI,1,2021,k
30,Graham Gano,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.1%,NYG,1,2021,k
31,Michael Badgley,0,1,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,1.1%,FA,1,2021,k
32,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,1,2021,k
33,Elliott Fry,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.5%,FA,1,2021,k
34,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,1,2021,k
35,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,FA,1,2021,k
1,Graham Gano,5,5,100.0,55,0,1,1,1,2,2,2,1,22.0,22.0,1.1%,NYG,2,2021,k
2,Daniel Carlson,4,4,100.0,46,0,0,1,3,0,2,2,1,17.0,17.0,12.9%,LV,2,2021,k
3,Randy Bullock,4,5,80.0,36,0,1,3,0,0,3,3,1,15.0,15.0,1.2%,FA,2,2021,k
4,Nick Folk,4,4,100.0,49,0,1,1,2,0,1,2,1,15.0,15.0,1.1%,NYJ,2,2021,k
5,Dustin Hopkins,3,3,100.0,49,0,0,1,2,0,3,3,1,14.0,14.0,0.8%,CLE,2,2021,k
6,Brandon McManus,3,3,100.0,46,0,0,1,2,0,2,2,1,13.0,13.0,5.5%,GB,2,2021,k
7,Greg Joseph,2,3,66.7,52,0,0,0,0,2,3,4,1,13.0,13.0,0.6%,FA,2,2021,k
8,Rodrigo Blankenship,3,3,100.0,48,0,0,1,2,0,1,1,1,12.0,12.0,0.2%,FA,2,2021,k
9,Matt Prater,2,2,100.0,62,0,1,0,0,1,4,4,1,12.0,12.0,0.6%,FA,2,2021,k
10,Tristan Vizcaino,3,4,75.0,46,0,1,1,1,0,0,0,1,10.0,10.0,0.0%,FA,2,2021,k
11,Greg Zuerlein,2,2,100.0,56,0,0,1,0,1,2,2,1,10.0,10.0,0.8%,FA,2,2021,k
12,Zane Gonzalez,2,3,66.7,42,0,1,0,1,0,2,3,1,9.0,9.0,4.7%,FA,2,2021,k
13,Matt Gay,2,2,100.0,38,0,0,2,0,0,3,3,1,9.0,9.0,16.2%,WAS,2,2021,k
14,Cairo Santos,2,2,100.0,28,0,2,0,0,0,2,2,1,8.0,8.0,12.2%,CHI,2,2021,k
15,Evan McPherson,1,1,100.0,53,0,0,0,0,1,2,2,1,7.0,7.0,44.2%,CIN,2,2021,k
16,Chris Boswell,1,1,100.0,56,0,0,0,0,1,2,2,1,7.0,7.0,81.4%,PIT,2,2021,k
17,Chase McLaughlin,1,1,100.0,30,0,0,1,0,0,4,4,1,7.0,7.0,81.7%,TB,2,2021,k
18,Justin Tucker,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,3.7%,FA,2,2021,k
19,Austin Seibert,1,1,100.0,43,0,0,0,1,0,2,2,1,6.0,6.0,0.7%,FA,2,2021,k
20,Robbie Gould,1,1,100.0,46,0,0,0,1,0,2,2,1,6.0,6.0,0.6%,FA,2,2021,k
21,Jason Myers,1,1,100.0,31,0,0,1,0,0,3,4,1,6.0,6.0,3.6%,SEA,2,2021,k
22,Ryan Succop,0,0,0.0,0,0,0,0,0,0,6,7,1,6.0,6.0,1.5%,FA,2,2021,k
23,Matt Ammendola,2,3,66.7,35,0,1,1,0,0,0,0,1,6.0,6.0,0.0%,FA,2,2021,k
24,Tyler Bass,0,1,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,57.6%,BUF,2,2021,k
25,Mason Crosby,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.1%,FA,2,2021,k
26,Harrison Butker,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,72.4%,KC,2,2021,k
27,Younghoe Koo,1,1,100.0,36,0,0,1,0,0,2,2,1,5.0,5.0,22.8%,ATL,2,2021,k
28,Jake Elliott,1,2,50.0,45,0,0,0,1,0,0,0,1,4.0,4.0,60.9%,PHI,2,2021,k
29,Joey Slye,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.8%,TEN,2,2021,k
30,Josh Lambo,0,2,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.6%,FA,2,2021,k
31,Aldrick Rosas,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,FA,2,2021,k
32,Jason Sanders,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,41.5%,MIA,2,2021,k
33,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,2,2021,k
34,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,FA,2,2021,k
1,Chase McLaughlin,4,4,100.0,57,0,1,0,1,2,2,2,1,19.0,19.0,81.7%,TB,3,2021,k
2,Justin Tucker,4,5,80.0,66,0,0,2,0,2,1,1,1,17.0,17.0,3.7%,FA,3,2021,k
3,Mason Crosby,3,3,100.0,54,0,0,1,0,2,3,3,1,16.0,16.0,0.1%,FA,3,2021,k
4,Brandon McManus,4,4,100.0,47,0,1,1,2,0,2,2,1,16.0,16.0,5.5%,GB,3,2021,k
5,Tyler Bass,3,3,100.0,48,0,2,0,1,0,4,4,1,14.0,14.0,57.6%,BUF,3,2021,k
6,Daniel Carlson,3,3,100.0,50,0,1,1,0,1,2,3,1,13.0,13.0,12.9%,LV,3,2021,k
7,Greg Joseph,3,3,100.0,43,0,1,1,1,0,3,3,1,13.0,13.0,0.6%,FA,3,2021,k
8,Jason Sanders,2,3,66.7,50,0,0,0,1,1,2,2,1,11.0,11.0,41.5%,MIA,3,2021,k
9,Rodrigo Blankenship,3,4,75.0,43,0,2,0,1,0,1,1,1,11.0,11.0,0.2%,FA,3,2021,k
10,Matt Gay,2,2,100.0,48,0,1,0,1,0,4,4,1,11.0,11.0,16.2%,WAS,3,2021,k
11,Nick Folk,2,2,100.0,45,0,1,0,1,0,1,1,1,8.0,8.0,1.1%,NYJ,3,2021,k
12,Matt Prater,1,2,50.0,34,0,0,1,0,0,4,4,1,7.0,7.0,0.6%,FA,3,2021,k
13,Jason Myers,1,2,50.0,53,0,0,0,0,1,2,2,1,7.0,7.0,3.6%,SEA,3,2021,k
14,Cairo Santos,2,2,100.0,47,0,1,0,1,0,0,0,1,7.0,7.0,12.2%,CHI,3,2021,k
15,Evan McPherson,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,44.2%,CIN,3,2021,k
16,Harrison Butker,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,6.0,72.4%,KC,3,2021,k
17,Graham Gano,2,2,100.0,31,0,1,1,0,0,0,0,1,6.0,6.0,1.1%,NYG,3,2021,k
18,Younghoe Koo,1,1,100.0,40,0,0,0,1,0,2,2,1,6.0,6.0,22.8%,ATL,3,2021,k
19,Ryan Succop,1,2,50.0,26,0,1,0,0,0,3,3,1,6.0,6.0,1.5%,FA,3,2021,k
20,Zane Gonzalez,1,1,100.0,21,0,1,0,0,0,3,3,1,6.0,6.0,4.7%,FA,3,2021,k
21,Ryan Santoso,1,1,100.0,35,0,0,1,0,0,2,2,1,5.0,5.0,0.0%,FA,3,2021,k
22,Joey Slye,1,1,100.0,53,0,0,0,0,1,0,1,1,5.0,5.0,0.8%,TEN,3,2021,k
23,Randy Bullock,1,1,100.0,32,0,0,1,0,0,2,2,1,5.0,5.0,1.2%,FA,3,2021,k
24,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,5,6,1,5.0,5.0,0.8%,FA,3,2021,k
25,Robbie Gould,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.6%,FA,3,2021,k
26,Aldrick Rosas,0,2,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,FA,3,2021,k
27,Tristan Vizcaino,1,1,100.0,24,0,1,0,0,0,1,3,1,4.0,4.0,0.0%,FA,3,2021,k
28,Chris Boswell,1,2,50.0,26,0,1,0,0,0,1,1,1,4.0,4.0,81.4%,PIT,3,2021,k
29,Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.8%,CLE,3,2021,k
30,Jake Elliott,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,60.9%,PHI,3,2021,k
31,Josh Lambo,0,0,0.0,0,0,0,0,0,0,1,3,1,1.0,1.0,0.6%,FA,3,2021,k
32,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,3,2021,k
33,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,3,2021,k
34,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,FA,3,2021,k
1,Tyler Bass,4,4,100.0,33,0,3,1,0,0,4,4,1,16.0,16.0,57.6%,BUF,4,2021,k
2,Ryan Succop,4,5,80.0,48,0,2,0,2,0,1,1,1,15.0,15.0,1.5%,FA,4,2021,k
3,Matt Prater,3,3,100.0,55,0,2,0,0,1,4,4,1,15.0,15.0,0.6%,FA,4,2021,k
4,Justin Tucker,3,3,100.0,46,0,1,0,2,0,2,2,1,13.0,13.0,3.7%,FA,4,2021,k
5,Jake Elliott,3,3,100.0,31,0,2,1,0,0,3,3,1,12.0,12.0,60.9%,PHI,4,2021,k
6,Randy Bullock,3,4,75.0,46,0,0,1,2,0,1,1,1,12.0,12.0,1.2%,FA,4,2021,k
7,Rodrigo Blankenship,2,2,100.0,43,0,0,1,1,0,3,3,1,10.0,10.0,0.2%,FA,4,2021,k
8,Chase McLaughlin,2,2,100.0,53,0,0,0,1,1,0,0,1,9.0,9.0,81.7%,TB,4,2021,k
9,Matt Gay,2,3,66.7,42,0,1,0,1,0,2,2,1,9.0,9.0,16.2%,WAS,4,2021,k
10,Matt Ammendola,2,2,100.0,27,0,2,0,0,0,3,3,1,9.0,9.0,0.0%,FA,4,2021,k
11,Mason Crosby,2,2,100.0,29,0,2,0,0,0,3,3,1,9.0,9.0,0.1%,FA,4,2021,k
12,Graham Gano,2,3,66.7,48,0,1,0,1,0,1,1,1,8.0,8.0,1.1%,NYG,4,2021,k
13,Chris Boswell,1,1,100.0,52,0,0,0,0,1,2,2,1,7.0,7.0,81.4%,PIT,4,2021,k
14,Greg Zuerlein,1,1,100.0,37,0,0,1,0,0,3,3,1,6.0,6.0,0.8%,FA,4,2021,k
15,Evan McPherson,1,2,50.0,35,0,0,1,0,0,3,3,1,6.0,6.0,44.2%,CIN,4,2021,k
16,Harrison Butker,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,72.4%,KC,4,2021,k
17,Younghoe Koo,1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,6.0,22.8%,ATL,4,2021,k
18,Cairo Santos,1,1,100.0,33,0,0,1,0,0,3,3,1,6.0,6.0,12.2%,CHI,4,2021,k
19,Nick Folk,1,2,50.0,27,0,1,0,0,0,2,2,1,5.0,5.0,1.1%,NYJ,4,2021,k
20,Jason Sanders,1,1,100.0,38,0,0,1,0,0,2,2,1,5.0,5.0,41.5%,MIA,4,2021,k
21,Tristan Vizcaino,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,FA,4,2021,k
22,Jason Myers,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,3.6%,SEA,4,2021,k
23,Zane Gonzalez,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,4.7%,FA,4,2021,k
24,Dustin Hopkins,1,1,100.0,21,0,1,0,0,0,1,3,1,4.0,4.0,0.8%,CLE,4,2021,k
25,Matthew Wright,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.8%,CAR,4,2021,k
26,Aldrick Rosas,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,FA,4,2021,k
27,Daniel Carlson,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,12.9%,LV,4,2021,k
28,Ryan Santoso,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,FA,4,2021,k
29,Brandon McManus,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,5.5%,GB,4,2021,k
30,Greg Joseph,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.6%,FA,4,2021,k
31,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,4,2021,k
32,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,FA,4,2021,k
33,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,62.4%,HOU,4,2021,k
1,Nick Folk,4,4,100.0,52,0,1,1,0,2,1,2,1,17.0,17.0,1.1%,NYJ,5,2021,k
2,Greg Joseph,4,5,80.0,55,0,0,2,0,2,1,1,1,17.0,17.0,0.6%,FA,5,2021,k
3,Mason Crosby,4,7,57.1,49,0,1,0,3,0,1,2,1,16.0,16.0,0.1%,FA,5,2021,k
4,Zane Gonzalez,3,3,100.0,50,0,0,0,2,1,1,1,1,14.0,14.0,4.7%,FA,5,2021,k
5,Greg Zuerlein,3,3,100.0,38,0,0,3,0,0,5,5,1,14.0,14.0,0.8%,FA,5,2021,k
6,Graham Gano,2,3,66.7,51,0,0,0,0,2,2,2,1,12.0,12.0,1.1%,NYG,5,2021,k
7,Austin Seibert,3,3,100.0,52,0,0,1,1,1,0,0,1,12.0,12.0,0.7%,FA,5,2021,k
8,Dustin Hopkins,3,3,100.0,45,0,2,0,1,0,1,1,1,11.0,11.0,0.8%,CLE,5,2021,k
9,Chris Boswell,2,2,100.0,48,0,0,0,2,0,3,3,1,11.0,11.0,81.4%,PIT,5,2021,k
10,Younghoe Koo,2,2,100.0,52,0,0,1,0,1,3,3,1,11.0,11.0,22.8%,ATL,5,2021,k
11,Chase McLaughlin,2,2,100.0,35,0,0,2,0,0,4,4,1,10.0,10.0,81.7%,TB,5,2021,k
12,Cairo Santos,2,2,100.0,46,0,0,0,2,0,2,2,1,10.0,10.0,12.2%,CHI,5,2021,k
13,Harrison Butker,2,2,100.0,54,0,0,1,0,1,2,2,1,10.0,10.0,72.4%,KC,5,2021,k
14,Ryan Succop,1,1,100.0,42,0,0,0,1,0,6,6,1,10.0,10.0,1.5%,FA,5,2021,k
15,Matt Gay,2,2,100.0,47,0,0,1,1,0,2,3,1,9.0,9.0,16.2%,WAS,5,2021,k
16,Jake Elliott,2,2,100.0,58,0,0,1,0,1,1,1,1,9.0,9.0,60.9%,PHI,5,2021,k
17,Rodrigo Blankenship,2,4,50.0,43,0,0,1,1,0,1,2,1,8.0,8.0,0.2%,FA,5,2021,k
18,Tyler Bass,1,1,100.0,30,0,0,1,0,0,5,5,1,8.0,8.0,57.6%,BUF,5,2021,k
19,Brandon McManus,2,2,100.0,39,0,1,1,0,0,1,1,1,7.0,7.0,5.5%,GB,5,2021,k
20,Randy Bullock,1,1,100.0,34,0,0,1,0,0,4,5,1,7.0,7.0,1.2%,FA,5,2021,k
21,Matt Ammendola,2,2,100.0,49,0,0,1,1,0,0,1,1,7.0,7.0,0.0%,FA,5,2021,k
22,Jason Sanders,1,1,100.0,23,0,1,0,0,0,2,2,1,5.0,5.0,41.5%,MIA,5,2021,k
23,Joey Slye,1,1,100.0,47,0,0,0,1,0,1,1,1,5.0,5.0,0.8%,TEN,5,2021,k
24,Jason Myers,1,2,50.0,32,0,0,1,0,0,2,2,1,5.0,5.0,3.6%,SEA,5,2021,k
25,Matt Prater,1,2,50.0,21,0,1,0,0,0,2,2,1,5.0,5.0,0.6%,FA,5,2021,k
26,Ka'imi Fairbairn,1,2,50.0,33,0,0,1,0,0,1,3,1,4.0,4.0,62.4%,HOU,5,2021,k
27,Justin Tucker,1,1,100.0,23,0,1,0,0,0,0,0,1,3.0,3.0,3.7%,FA,5,2021,k
28,Daniel Carlson,1,1,100.0,31,0,0,1,0,0,0,0,1,3.0,3.0,12.9%,LV,5,2021,k
29,Tristan Vizcaino,0,0,0.0,0,0,0,0,0,0,3,5,1,3.0,3.0,0.0%,FA,5,2021,k
30,Cody Parkey,0,0,0.0,0,0,0,0,0,0,3,5,1,3.0,3.0,1.4%,FA,5,2021,k
31,Evan McPherson,0,2,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,44.2%,CIN,5,2021,k
32,Matthew Wright,0,1,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,0.8%,CAR,5,2021,k
33,Brian Johnson,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.7%,FA,5,2021,k
34,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,FA,5,2021,k
1,Matthew Wright,3,3,100.0,54,0,0,0,1,2,2,2,1,16.0,16.0,0.8%,CAR,6,2021,k
2,Matt Prater,3,3,100.0,51,0,0,2,0,1,4,4,1,15.0,15.0,0.6%,FA,6,2021,k
3,Tyler Bass,3,3,100.0,52,0,2,0,0,1,2,2,1,13.0,13.0,57.6%,BUF,6,2021,k
4,Greg Zuerlein,3,4,75.0,49,0,0,1,2,0,2,2,1,13.0,13.0,0.8%,FA,6,2021,k
5,Chris Boswell,3,3,100.0,52,0,1,1,0,1,2,2,1,13.0,13.0,81.4%,PIT,6,2021,k
6,Daniel Carlson,2,3,66.7,50,0,0,1,0,1,4,4,1,12.0,12.0,12.9%,LV,6,2021,k
7,Justin Tucker,2,2,100.0,52,0,0,1,0,1,4,4,1,12.0,12.0,3.7%,FA,6,2021,k
8,Evan McPherson,2,2,100.0,40,0,0,1,1,0,4,4,1,11.0,11.0,44.2%,CIN,6,2021,k
9,Randy Bullock,2,2,100.0,43,0,0,1,1,0,4,4,1,11.0,11.0,1.2%,FA,6,2021,k
10,Jason Myers,2,2,100.0,43,0,0,0,2,0,2,2,1,10.0,10.0,3.6%,SEA,6,2021,k
11,Greg Joseph,3,5,60.0,38,0,2,1,0,0,1,1,1,10.0,10.0,0.6%,FA,6,2021,k
12,Dustin Hopkins,2,3,66.7,50,0,0,0,1,1,1,1,1,10.0,10.0,0.8%,CLE,6,2021,k
13,Harrison Butker,1,1,100.0,52,0,0,0,0,1,4,4,1,9.0,9.0,72.4%,KC,6,2021,k
14,Zane Gonzalez,2,2,100.0,47,0,1,0,1,0,2,2,1,9.0,9.0,4.7%,FA,6,2021,k
15,Michael Badgley,1,1,100.0,41,0,0,0,1,0,4,4,1,8.0,8.0,1.1%,FA,6,2021,k
16,Matt Gay,1,1,100.0,32,0,0,1,0,0,5,5,1,8.0,8.0,16.2%,WAS,6,2021,k
17,Jason Sanders,2,3,66.7,33,0,1,1,0,0,2,2,1,8.0,8.0,41.5%,MIA,6,2021,k
18,Mason Crosby,1,1,100.0,39,0,0,1,0,0,3,3,1,6.0,6.0,0.1%,FA,6,2021,k
19,Brandon McManus,1,1,100.0,32,0,0,1,0,0,3,3,1,6.0,6.0,5.5%,GB,6,2021,k
20,Ryan Succop,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,1.5%,FA,6,2021,k
21,Nick Folk,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,1.1%,NYJ,6,2021,k
22,Ka'imi Fairbairn,1,1,100.0,31,0,0,1,0,0,0,0,1,3.0,3.0,62.4%,HOU,6,2021,k
23,Austin Seibert,1,1,100.0,35,0,0,1,0,0,0,0,1,3.0,3.0,0.7%,FA,6,2021,k
24,Graham Gano,1,1,100.0,27,0,1,0,0,0,0,0,1,3.0,3.0,1.1%,NYG,6,2021,k
25,Jake Elliott,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,60.9%,PHI,6,2021,k
26,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,81.7%,TB,6,2021,k
27,Cairo Santos,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,12.2%,CHI,6,2021,k
28,Tristan Vizcaino,0,0,0.0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0%,FA,6,2021,k
29,JJ Molson,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2021,k
30,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,FA,6,2021,k
1,Austin Seibert,4,4,100.0,47,0,0,2,2,0,1,1,1,15.0,15.0,0.7%,FA,7,2021,k
2,Graham Gano,3,3,100.0,53,0,0,0,2,1,2,2,1,15.0,15.0,1.1%,NYG,7,2021,k
3,Nick Folk,2,2,100.0,50,0,0,1,0,1,6,7,1,14.0,14.0,1.1%,NYJ,7,2021,k
4,Evan McPherson,2,2,100.0,52,0,0,1,0,1,5,5,1,13.0,13.0,44.2%,CIN,7,2021,k
5,Younghoe Koo,3,3,100.0,36,0,0,3,0,0,3,3,1,12.0,12.0,22.8%,ATL,7,2021,k
6,Randy Bullock,2,2,100.0,51,0,0,1,0,1,3,3,1,11.0,11.0,1.2%,FA,7,2021,k
7,Daniel Carlson,2,2,100.0,39,0,1,1,0,0,3,4,1,9.0,9.0,12.9%,LV,7,2021,k
8,Matt Gay,2,2,100.0,47,0,0,1,1,0,2,2,1,9.0,9.0,16.2%,WAS,7,2021,k
9,Joey Slye,2,2,100.0,56,0,0,1,0,1,0,1,1,8.0,8.0,0.8%,TEN,7,2021,k
10,Ryan Succop,1,2,50.0,22,0,1,0,0,0,5,5,1,8.0,8.0,1.5%,FA,7,2021,k
11,Chase McLaughlin,1,2,50.0,52,0,0,0,0,1,2,2,1,7.0,7.0,81.7%,TB,7,2021,k
12,Brian Johnson,2,2,100.0,33,0,1,1,0,0,1,1,1,7.0,7.0,1.7%,FA,7,2021,k
13,Matt Prater,1,1,100.0,31,0,0,1,0,0,4,4,1,7.0,7.0,0.6%,FA,7,2021,k
14,Michael Badgley,1,1,100.0,42,0,0,0,1,0,3,3,1,7.0,7.0,1.1%,FA,7,2021,k
15,Justin Tucker,1,1,100.0,45,0,0,0,1,0,2,2,1,6.0,6.0,3.7%,FA,7,2021,k
16,Mason Crosby,1,2,50.0,39,0,0,1,0,0,3,3,1,6.0,6.0,0.1%,FA,7,2021,k
17,Jason Myers,1,3,33.3,50,0,0,0,0,1,1,1,1,6.0,6.0,3.6%,SEA,7,2021,k
18,Ka'imi Fairbairn,1,1,100.0,53,0,0,0,0,1,0,0,1,5.0,5.0,62.4%,HOU,7,2021,k
19,Chris Blewitt,1,2,50.0,45,0,0,0,1,0,1,1,1,5.0,5.0,0.1%,FA,7,2021,k
20,Zane Gonzalez,1,1,100.0,45,0,0,0,1,0,0,0,1,4.0,4.0,4.7%,FA,7,2021,k
21,Harrison Butker,1,2,50.0,42,0,0,0,1,0,0,0,1,4.0,4.0,72.4%,KC,7,2021,k
22,Jason Sanders,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,41.5%,MIA,7,2021,k
23,Cairo Santos,1,1,100.0,28,0,1,0,0,0,0,0,1,3.0,3.0,12.2%,CHI,7,2021,k
24,Jake Elliott,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,60.9%,PHI,7,2021,k
25,Brandon McManus,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,5.5%,GB,7,2021,k
26,Matt Ammendola,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,FA,7,2021,k
1,Zane Gonzalez,4,4,100.0,57,0,2,0,0,2,1,1,1,17.0,17.0,4.7%,FA,8,2021,k
2,Jake Elliott,3,3,100.0,43,0,1,0,2,0,5,5,1,16.0,16.0,60.9%,PHI,8,2021,k
3,Joey Slye,4,5,80.0,52,0,1,1,1,1,1,2,1,16.0,16.0,0.8%,TEN,8,2021,k
4,Nick Folk,4,4,100.0,48,0,1,1,2,0,1,1,1,15.0,15.0,1.1%,NYJ,8,2021,k
5,Brian Johnson,3,3,100.0,35,0,2,1,0,0,3,4,1,12.0,12.0,1.7%,FA,8,2021,k
6,Randy Bullock,2,2,100.0,46,0,0,0,2,0,4,4,1,12.0,12.0,1.2%,FA,8,2021,k
